540	162	2.5	28	79.99
540	162	2.5	28	61.89
332.5	228	0	270	40.27
332.5	228	0	365	41.05
198.6	192	0	360	44.3
266	228	0	90	47.03
380	228	0	365	43.7
380	228	0	28	36.45
266	228	0	28	45.85
475	228	0	28	39.29
198.6	192	0	90	38.07
198.6	192	0	28	28.02
427.5	228	0	270	43.01
190	228	0	90	42.33
304	228	0	28	47.81
380	228	0	90	52.91
139.6	192	0	90	39.36
342	228	0	365	56.14
380	228	0	90	40.56
475	228	0	180	42.62
427.5	228	0	180	41.84
139.6	192	0	28	28.24
139.6	192	0	3	8.06
139.6	192	0	180	44.21
380	228	0	365	52.52
380	228	0	270	53.3
380	228	0	270	41.15
342	228	0	180	52.12
427.5	228	0	28	37.43
475	228	0	7	38.6
304	228	0	365	55.26
266	228	0	365	52.91
198.6	192	0	180	41.72
475	228	0	270	42.13
190	228	0	365	53.69
237.5	228	0	270	38.41
237.5	228	0	28	30.08
332.5	228	0	90	37.72
475	228	0	90	42.23
237.5	228	0	180	36.25
342	228	0	90	50.46
427.5	228	0	365	43.7
237.5	228	0	365	39
380	228	0	180	53.1
427.5	228	0	90	41.54
427.5	228	0	7	35.08
349	192	0	3	15.05
380	228	0	180	40.76
237.5	228	0	7	26.26
380	228	0	7	32.82
332.5	228	0	180	39.78
190	228	0	180	46.93
237.5	228	0	90	33.12
304	228	0	90	49.19
139.6	192	0	7	14.59
198.6	192	0	7	14.64
475	228	0	365	41.93
198.6	192	0	3	9.13
304	228	0	180	50.95
332.5	228	0	28	33.02
304	228	0	270	54.38
266	228	0	270	51.73
310	192	0	3	9.87
190	228	0	270	50.66
266	228	0	180	48.7
342	228	0	270	55.06
139.6	192	0	360	44.7
332.5	228	0	7	30.28
190	228	0	28	40.86
485	146	0	28	71.99
374	170.1	10.1	3	34.4
313.3	175.5	8.6	3	28.8
425	153.5	16.5	3	33.4
425	151.4	18.6	3	36.3
375	126.6	23.4	3	29
475	181.1	8.9	3	37.8
469	137.8	32.2	3	40.2
425	153.5	16.5	3	33.4
388.6	157.9	12.1	3	28.1
531.3	141.8	28.2	3	41.3
425	153.5	16.5	3	33.4
318.8	155.7	14.3	3	25.2
401.8	147.4	11.4	3	41.1
362.6	164.9	11.6	3	35.3
323.7	183.8	10.3	3	28.3
379.5	153.9	15.9	3	28.6
362.6	164.9	11.6	3	35.3
286.3	144.7	11.2	3	24.4
362.6	164.9	11.6	3	35.3
439	186	11.1	3	39.3
389.9	145.9	22	3	40.6
362.6	164.9	11.6	3	35.3
337.9	174.9	9.5	3	24.1
374	170.1	10.1	7	46.2
313.3	175.5	8.6	7	42.8
425	153.5	16.5	7	49.2
425	151.4	18.6	7	46.8
375	126.6	23.4	7	45.7
475	181.1	8.9	7	55.6
469	137.8	32.2	7	54.9
425	153.5	16.5	7	49.2
388.6	157.9	12.1	7	34.9
531.3	141.8	28.2	7	46.9
425	153.5	16.5	7	49.2
318.8	155.7	14.3	7	33.4
